[SystemTime { tv_sec: 1783771286, tv_nsec: 123869000 } Pad 1: AxisChanged(LeftStickY, 0.43410054, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 127869000 } Pad 1: AxisChanged(LeftStickY, 0.4397156, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 131869000 } Pad 1: AxisChanged(LeftStickY, 0.44180816, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 133873000 } Pad 1: AxisChanged(LeftStickY, 0.4437961, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 137869000 } Pad 1: AxisChanged(LeftStickY, 0.44585377, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 139869000 } Pad 1: AxisChanged(LeftStickY, 0.45171297, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 141869000 } Pad 1: AxisChanged(LeftStickY, 0.45359626, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 143878000 } Pad 1: AxisChanged(LeftStickY, 0.4555842, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 145869000 } Pad 1: AxisChanged(LeftStickY, 0.45694438, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 147869000 } Pad 1: AxisChanged(LeftStickY, 0.4614434, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 153869000 } Pad 1: AxisChanged(LeftStickY, 0.4630128, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 157869000 } Pad 1: AxisChanged(LeftStickY, 0.46472174, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 163869000 } Pad 1: AxisChanged(LeftStickY, 0.46925563, Code(EvCode(EvCode { kind: 3, code: 1 })))
